pid,name,pagerank_score
07/2864-2,Rui Yin 0002,0.00012797019225542524
181/8442,Karen Sui Geok Chua,0.00012794749118602127
36/1648,Huiyu Zhou 0001,0.0001279360609410777
159/1492,Yutao Jiao,0.00012791466751185517
44/3549-1,Trung Hieu Nguyen 0001,0.0001278280412255217
30/10768-3,Cong Wu 0003,0.0001277990180963161
89/5503-12,Yi Ding 0012,0.00012771542313532588
58/6576-1,Xiaofei Wang 0001,0.0001276783773724662
23/2089,Ke Yu,0.00012763301316251038
181/2877,Yiming Li,0.0001274569779790197
j/NicholasRJennings,Nicholas R. Jennings,0.00012741626763076102
n/FelixNaumann,Felix Naumann,0.00012734157284092191
142/3689,L. L. Chamara Kasun,0.00012723056433792935
22/111,David Sanán,0.00012714875349633759
