pid,name,weighted_degree
169/3407,Qinghao Hu,141
88/8398,Tianyi Wang,140
147/5824-1,Hongxu Chen 0001,140
231/7630,Jiangmiao Pang,140
127/2956,Guangliang Cheng,140
38/326-2,Xikun Zhang 0002,140
53/803,Linbo Luo,139
71/2764,Eryk Dutkiewicz,139
19/10892,Soonyong Song,139
265/5033,Ruoxi Zhu,139
331/3226,Shijie Wen,139
156/1038,Shunyu Yao,139
254/6023,Yuhang Hu,139
172/2695,Mengquan Li,139
186/9707,Liangming Pan,138
150/5634,Changyan Yi,137
28/6937-1,Yong Xiao 0001,137
270/6203,Jinting Luo,137
59/1007,Xiangnan He 0001,137
16/1325,Chew-Hung Chang,137
77/2428-3,Ping Zhang 0003,136
159/1492,Yutao Jiao,135
133/4527,Hongyuan Zhu,135
202/8872-1,Anran Li 0001,135
182/7262,Anxiang Zeng,135
176/4020,Yapeng Tian,135
166/2763-1,Yulun Zhang 0001,135
r/IanDReid1,Ian Reid 0001,134
150/6633,Shuai Yi,134
g/WenGao,Wen Gao 0001,134
15/4777-63,Tao Zhang 0063,134
257/4507,Wanqi Yin,134
09/1365-82,Xin Li 0082,134
74/4607,Kun Yuan,134
368/6730,Yajing Pei,134
202/4926,Yiting Lu,134
39/1471-8,Ming Sun 0008,134
72/4184-3,Chao Zhou 0003,134
13/7007-9,Lei Li 0009,134
250/1091,Han Kong,134
203/1536,Wenxuan Wang,134
223/5019,Mengduo Yang,134
00/5012-1,Jie Zhou 0001,134
43/4804,Da Li,134
376/6510,Jiazhi Du,134
94/8672,Zhibo Li,134
87/7883,Shuai He,134
52/3276,Anlong Ming,134
39/10696,Huiyuan Fu,134
23/2702,Yong Wu,134
376/5720,Fie Xue,134
225/7439,Guozhi Zhao,134
130/1023,Lina Du,134
77/2751,Jie Guo,134
42/9889,Huimin Zheng,134
215/2594,Junhao Chen,134
376/5368,Dulan Zhou,134
335/8976,Qisheng Xu,134
328/5733,Zhixiang Ding,134
29/6643-17,Jie Huang 0017,134
59/1501,Richang Hong,134
200/9134,Zhonghua Wu,133
09/3493-1,Dong Xu 0001,133
02/4647-6,Chao Ren 0006,133
277/9378,Bosheng Ding,133
147/1229,Ziyuan Zhao,133
91/10215,Xulei Yang,133
25/5712,Guang Yang,133
188/9082,Yequan Wang,133
71/2308-1,Jun Xiao 0001,133
02/5336,Gerd Ascheid,132
254/1228,Rundong Wang,132
77/10205-1,Hongliang Zhang 0001,132
73/9801,Kok Soon Phua,132
01/8056,Jinjian Wu,132
14/6370-1,Xin Peng 0001,132
203/8513,Haiyu Zhao,131
d/LingyuDuan,Ling-Yu Duan,131
97/6308-1,Wenwu Zhu 0001,131
76/5789-0009,Shuai Liu 0009,131
190/4779,Chaoyu Feng,131
21/10480,Luyang Wang,131
72/6811-11,Bo Wang 0011,131
23/1112-1,Weifeng Liu 0001,131
44/5405,Anthony Larcher,130
178/9876,Lingjuan Lyu,130
77/3270,Wei Bian,130
167/0539,Dongliang He,130
150/6350,Hongxin Wei,129
237/3528-2,Mohamed Ragab 0002,129
68/10002,Fusang Zhang,129
354/8723,Binnan Han,129
200/8321,Behrooz Omidvar-Tehrani,129
39/3695,Xiaochun Cao,128
p/JianPei,Jian Pei 0001,127
84/4388,Shuxin Li,127
217/2011,Qianyi Wu,127
184/7483,Yulan Gao,127
73/1823,Chuan Sheng Foo,127
07/314-1,Jian Zhang 0001,127
