colab_id,author_pid,author_name,year,collaborator_pid,collaborator_name
341,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
342,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
343,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
344,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
345,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
346,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
347,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
348,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
349,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
350,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
351,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
352,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
353,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
354,99/4535,Anupam Chattopadhyay,2020,99/4535,Anupam Chattopadhyay
355,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
356,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
357,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
358,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
359,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
360,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
361,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
362,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
363,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
364,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
365,99/4535,Anupam Chattopadhyay,2019,84/2408,Owen Noel Newton Fernando
366,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
367,99/4535,Anupam Chattopadhyay,2019,s/SeahHockSoon,Hock Soon Seah
368,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
369,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
370,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
371,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
372,99/4535,Anupam Chattopadhyay,2019,41/8030,Sourav Sen Gupta 0001
373,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
374,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
375,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
376,99/4535,Anupam Chattopadhyay,2019,99/4535,Anupam Chattopadhyay
